id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
10332,2017,SPH,XNK Th?y s?n Hà N?i,UPCOM,0,0.35,1.99,2.92,0,0,0.02,0.02,0.48,0.32,0.48,0.32,1.48,4.4,6.72,6.72,1.06,0.34,1.06,134,2.53,127.54,0.33,8.34,9.11,1994
10765,2018,TTP,Bao b? nh?a Tân Ti?n,UPCOM,0,0.01,1.04,1.65,0,0,0,0,0.62,0.38,0.63,0.39,1.63,48.85,5.41,5.41,0.33,0.15,0.38,255.49,31.23,284.25,0.17,3.17,5.73,3493
11061,2020,VGI,??u t? Qu?c t? Viettel,UPCOM,0,0.31,1.54,1.66,0.29,0.15,0.5,0.26,0.53,0.27,0.95,0.49,1.95,0.7,103.94,104.51,2.9,5.06,2.98,4818.31,15.18,6993.74,6.01,22.76,97.15,158
36,2017,ACC,??u t? và XD B?nh D??ng ACC,HOSE,0,0.29,1.33,2.53,0,0,0.11,0.08,0.47,0.32,0.49,0.33,1.49,1.62,8.44,8.44,1.03,0.74,0.96,204,5.25,195.94,0.71,4.58,6.79,2416
1183,2018,HII,An Ti?n Industries,HOSE,0,0.1,0.83,1.02,0.36,0.1,1.56,0.41,2.41,0.64,2.77,0.74,3.77,0.17,10.53,10.53,0.95,0.08,0.67,395.47,4.9,1301.99,0.27,9.86,14.37,1349
1843,2014,NTL,?ô th? T? Liêm,HOSE,0,0.19,0.5,2.73,0,0,0,0,0.56,0.35,0.59,0.37,0,0,18.46,18.46,0.83,2.97,0.82,676.99,65.04,589.3,2.58,10.97,12.22,601
1867,2020,NVT,Ninh Vân Bay,HOSE,0,0.07,2.1,2.24,0.01,0.01,0.08,0.06,0.21,0.16,0.32,0.24,1.32,1.75,103.94,104.51,2.9,3.89,2.98,820.84,19.38,972.55,4.61,17.55,34.28,66
1972,2011,PHR,Cao su Ph??c H?a,HOSE,0,0.64,0.87,1.15,0,0,0.16,0.09,0.71,0.41,0.74,0.42,0,2731.17,2.73,2.73,1.26,0.86,1.24,2211.3,6.08,1850.46,0.71,1.74,1.8,8424.88
4146,2020,GDW,C?p n??c Gia ??nh,HNX,0,0.94,1.1,1.17,0.14,0.07,0.17,0.08,0.9,0.44,1.04,0.51,2.04,6.93,14.72,14.72,1.63,0.48,1.64,274.55,3.44,171.73,0.3,3.35,7.63,1964
5168,2012,PGS,Khí Mi?n Nam,HNX,0,0.37,0.76,0.85,0.4,0.11,0.96,0.27,1.72,0.48,2.33,0.65,0,2731.17,4.47,4.47,0.83,0.11,0.68,676.4,2.43,1009.48,0.15,1.59,2.71,3981
5762,2019,SHE,PT N?ng L??ng S?n Hà,HNX,0,0.06,2.21,2.7,0,0,0,0,0.55,0.35,0.55,0.35,1.55,0,3.5,3.5,1.17,0.36,1.17,90,2.79,85.79,0.35,2.75,2.87,5139
6605,2020,VNF,VINAFREIGHT,HNX,0,0.35,1.09,1.09,0,0,0.35,0.13,1.57,0.61,1.58,0.61,2.58,0.12,19.42,19.42,1.16,0.16,0.38,402.08,3.2,392.83,0.16,26.27,27.7,824
7279,2017,CFC,Cafico Vi?t Nam,UPCOM,0,0.69,2.01,4.17,0,0,0.07,0.06,0.24,0.19,0.25,0.2,1.25,1.01,17.53,17.53,0.74,0.21,0.81,25.25,15.67,22.14,0.18,7.92,30.71,645
8103,2016,HAM,HAMACO,UPCOM,0,0.12,0.55,1.01,0.26,0.06,1.97,0.47,2.91,0.7,3.17,0.76,4.17,0.13,6.87,6.87,1.32,0.06,2.98,100.85,-1.48,243.27,0.16,12.37,14.59,2621
10979,2012,VDT,L??i thép B?nh Tây,UPCOM,0,0.05,0.3,1.19,0.04,0.02,0.21,0.13,0.61,0.37,0.66,0.4,0,0,14.95,14.95,0.36,0.1,0.36,10.02,-47.92,15.05,0.15,3.66,10.25,341
1077,2011,HAI,Nông D??c HAI,HOSE,0,0.09,0.63,1.79,0,0,0.54,0.29,0.83,0.44,0.86,0.46,0,2731.17,6.5,6.5,0.84,0.42,0.98,299.28,4.15,467.79,0.66,5.86,6.18,2644
1885,2014,PAC,Pin ?c quy Mi?n Nam,HOSE,0,0.47,0.57,1.18,0,0,0.95,0.39,1.44,0.59,1.45,0.59,0,0,10.21,10.21,1.51,0.38,1.61,761.48,18.42,1048.19,0.51,5.86,9.17,2.8
4125,2011,EID,Phát tri?n GD Hà N?i,HNX,0,0.07,1.09,2.33,0,0,0.4,0.23,0.71,0.42,0.71,0.42,0,1939.26,3.96,3.96,0.72,0.43,0.72,117.79,3.77,178.76,0.64,4.35,4.41,2046
5386,2014,PTS,V?n t?i Petrolimex HP,HNX,0,0.54,1.07,1.36,0,0,0.1,0.06,0.78,0.44,0.79,0.44,0,0,9.13,9.13,0.38,0.1,0.38,31.18,1.67,4.44,0.03,0.4,1.23,614
5486,2013,QST,Sách Qu?ng Ninh,HNX,0,0.19,0.42,0.74,0.01,0,0.33,0.2,0.63,0.38,0.64,0.39,0,0,8.81,8.81,1.34,0.4,1.35,25.6,4.78,29.51,0.46,6.42,6.86,1793
5789,2010,SJ1,Nông nghi?p Hùng H?u,HNX,0,0.18,0.88,1.45,0,0,0.04,0.03,0.4,0.29,0.4,0.29,0,0,7.48,7.48,1.01,0.41,1.03,80.5,37.51,77.67,0.39,4.89,5.49,3074
7403,2018,CNC,Công ngh? cao Traphaco,UPCOM,0,0.62,1.55,2.68,0,0,0,0,0.25,0.2,0.25,0.2,1.25,0,7.4,7.4,1.67,0.85,1.7,237.51,5.29,215.14,0.77,4.62,6.24,2824
7640,2017,DHN,D??c Hà N?i,UPCOM,0,1.9,2,3.26,0,0,0,0,0.24,0.2,0.24,0.2,1.24,0,9.34,9.34,0.99,0.97,1.05,69.2,5.86,37.1,0.52,3.91,5.28,1177
